priority_rank,admin2_name,admin1_name,admin2_pcode,priority_tier,priority_score,disaster_score,poverty_score,flood_extent_pct,chirps_mean_mm,floodscan_mean,MPI,Headcount Ratio,In Severe Poverty,ipc_phase3plus_pct,ipc_phase_label,population_2026,affected_population_proxy,recommended_beneficiaries
83,Lurambi,Kakamega,KE037202,High,12.478361198508352,0.09306575504422682,0.1723603973963686,0.0,4.719556535993304,0.0,0.096,23.9991,2.8976,0.15,,-49082960.0,-4567942.732205583,0
84,Lamu West,Lamu,KE005022,High,12.349928990384813,0.05557064475809789,0.22539225762247345,0.0022682983853660028,0.0,0.00881056719356113,0.139,30.26,9.9741,0.15,P2,-38097547264.0,-2117105265.1625884,0
85,Sabatia,Vihiga,KE038212,High,12.21344628270333,0.10229901621109411,0.15188763275094208,0.0,5.185678958892822,4.999999873689376e-05,0.0794,19.5908,2.1217,0.15,,137026.0625,14017.631389029893,0
86,Mumias East,Kakamega,KE037205,High,12.206077288426313,0.0885276898761928,0.1723603973963686,0.0,4.4880116780598955,3.33333324912625e-05,0.096,23.9991,2.8976,0.15,,-286853696.0,-25394495.03932769,0
87,Narok East,Narok,KE033180,High,12.152397238191934,0.05199524687839589,0.22581706063720447,3.6467606848729497e-06,0.0,0.0622333288192749,0.1934,43.3427,11.611,0.05,P2,-14375711744.0,-747468681.1819352,0
88,Nandi Hills,Nandi,KE029153,High,12.136476135569053,0.0778301578150398,0.18666666666666665,0.0,3.925067356654576,0.0005167233757674694,0.1076,25.7708,5.3463,0.15,,-1283547264.0,-99898686.12018254,0
89,Bumula,Bungoma,KE039219,High,12.122857714308848,0.07127224887557115,0.19616306954436447,0.0,3.611542441628196,6.6666664982525e-05,0.1153,28.5666,3.6231,0.15,,-158843936.0,-11321164.538967296,0
90,Vihiga,Vihiga,KE038211,High,12.038630401088467,0.09938541818417973,0.15188763275094208,0.0,5.040039698282878,0.0,0.0794,19.5908,2.1217,0.15,,-8095929.5,-804617.3389471371,0
91,Nambale,Busia,KE040227,High,11.92980988621548,0.062463829267231895,0.2045495032545392,0.0,3.1613237857818604,0.0001500000071246177,0.1221,29.2173,5.2813,0.15,,-224967152.0,-14052309.773263406,0
92,Ugunja,Siaya,KE041233,High,11.852319963385039,0.07671189889871491,0.18124015073655358,0.0,3.890218734741211,0.0,0.1032,25.2612,2.786,0.15,,-59379252.0,-4555095.176105315,0
93,Navakholo,Kakamega,KE037203,High,11.844226805228447,0.0824968484895617,0.1723603973963686,0.0,4.182527814592634,2.499999936844688e-05,0.096,23.9991,2.8976,0.15,,-89630080.0,-7394199.129867294,0
94,Teso North,Busia,KE040225,High,11.72287281465418,0.059014878074543524,0.2045495032545392,0.0,1.6178151369094849,0.03250000129143397,0.1221,29.2173,5.2813,0.15,,-127039936.0,-7497246.333637812,0
95,Karachuonyo,Homa Bay,KE043247,High,11.697548822960401,0.07018582285155545,0.1871599862966769,0.0025705349419173347,0.7547842906071589,0.0007869789066414038,0.108,26.6254,3.3817,0.15,,-4203965440.0,-295058773.6459013,0
96,Ugenya,Siaya,KE041232,High,11.689167428066,0.07399268997673093,0.18124015073655358,3.6714056502247954e-06,3.742441177368164,0.00014000000664964317,0.1032,25.2612,2.786,0.15,,-126838496.0,-9385121.511642827,0
97,Lamu East,Lamu,KE005021,High,11.688864129018,0.04455289706865104,0.22539225762247345,0.0020957743056308187,0.0,0.0,0.139,30.26,9.9741,0.15,P2,-24833239040.0,-1106392742.8303266,0
98,Khwisero,Kakamega,KE037208,High,11.67639013509646,0.07969957065402859,0.1723603973963686,0.0,4.041729736328125,0.0,0.096,23.9991,2.8976,0.15,,-1675482.0,-133535.19603855314,0
99,Kuria West,Migori,KE044259,High,11.632570565503968,0.04336801119507868,0.22576224734498118,1.7239054552197492e-05,0.0,0.051545572280883786,0.1393,33.4521,6.2976,0.15,,-252870160.0,-10966475.929781336,0
100,Suna West,Migori,KE044256,High,11.414339502751297,0.039730826815867475,0.22576224734498118,0.0,0.0,0.04762500151991844,0.1393,33.4521,6.2976,0.15,,-239723152.0,-9524399.035865875,0
101,Tinderet,Nandi,KE029151,High,11.387451670711723,0.06534641673408431,0.18666666666666665,0.0,3.308210849761963,0.00013333332996505,0.1076,25.7708,5.3463,0.15,,-1706756736.0,-111530436.93436152,0
102,Hamisi,Vihiga,KE038213,High,11.371128105990833,0.0882603799325525,0.15188763275094208,0.0,4.475866045270648,0.0,0.0794,19.5908,2.1217,0.15,,-354429856.0,-31282113.74999987,0
103,Buuri,Meru,KE012057,High,11.2432387490595,0.02772989556072102,0.23948612538540598,0.000854170646113714,0.0,0.011473344763120015,0.1234,29.167,6.4093,0.2,P3,-9696751616.0,-268889909.58993274,0
104,Mwingi West,Kitui,KE015068,High,11.143452791195886,0.02559631550474361,0.24019184652278175,2.4955669026892338e-05,0.0,0.030046155819526084,0.151,37.0811,8.0134,0.15,P2,-2652910592.0,-67904736.51870815,0
105,Butere,Kakamega,KE037207,High,11.066860324474566,0.06954074047699703,0.1723603973963686,0.0,3.526554489135742,0.0,0.096,23.9991,2.8976,0.15,,-3233873.5,-224885.95779893806,0
