admin2_name,admin1_name,admin2_pcode,worldpop_raster_nodata,worldpop_raw_sum,worldpop_clean_sum,worldpop_negative_cell_count,worldpop_valid_cell_count
Kandara,Murang'a,KE021109,-99999.0,169239.70320070675,169239.70320070675,0,24175
Kanduyi,Bungoma,KE039220,-99999.0,343165.5653596389,343165.5653596389,0,34388
Kangema,Murang'a,KE021104,-99999.0,111430.63932958833,111430.63932958833,0,27059
Kangundo,Machakos,KE016077,-99999.0,99521.82897276239,99521.82897276239,0,19695
Kapenguria,West Pokot,KE024129,-99999.0,226915.45625918836,226915.45625918836,0,112350
Kapseret,Uasin Gishu,KE027145,-99999.0,223186.66621044968,223186.66621044968,0,36093
Karachuonyo,Homa Bay,KE043247,-99999.0,192499.84553259506,192499.84553259506,0,45447
Kasarani,Nairobi,KE047280,-99999.0,1029752.0180063513,1029752.0180063513,0,13274
Kasipul,Homa Bay,KE043245,-99999.0,146273.1693010339,146273.1693010339,0,29360
Kathiani,Machakos,KE016079,-99999.0,119532.98729676867,119532.98729676867,0,23500
Keiyo North,Elgeyo-Marakwet,KE028149,-99999.0,119391.9430015735,119391.9430015735,0,33288
Keiyo South,Elgeyo-Marakwet,KE028150,-99999.0,129186.57538578275,129186.57538578275,0,59591
Kesses,Uasin Gishu,KE027146,-99999.0,213142.52969412753,213142.52969412753,0,48906
Khwisero,Kakamega,KE037208,-99999.0,124499.84387118393,124499.84387118393,0,16865
Kiambaa,Kiambu,KE022118,-99999.0,325803.0216318016,325803.0216318016,0,8927
Kiambu,Kiambu,KE022117,-99999.0,161488.5487896089,161488.5487896089,0,9213
Kibra,Nairobi,KE047278,-99999.0,190783.17845546454,190783.17845546454,0,1438
Kibwezi East,Makueni,KE017088,-99999.0,163479.22814398984,163479.22814398984,0,121931
Kibwezi West,Makueni,KE017087,-99999.0,151573.57383350533,151573.57383350533,0,106957
Kieni,Nyeri,KE019095,-99999.0,223051.28252653967,223051.28252653967,0,95812
Kigumo,Murang'a,KE021107,-99999.0,173050.20380024787,173050.20380024787,0,30984
Kiharu,Murang'a,KE021106,-99999.0,166546.07080716817,166546.07080716817,0,33227
Kikuyu,Kiambu,KE022120,-99999.0,280770.742152049,280770.742152049,0,15482
Kilgoris,Narok,KE033177,-99999.0,311367.7204800416,311367.7204800416,0,165200
Kilifi North,Kilifi,KE003011,-99999.0,382761.6338656572,382761.6338656572,0,52346
Kilifi South,Kilifi,KE003012,-99999.0,293837.44644984975,293837.44644984975,0,31193
Kilimani,Nairobi,KE047275,-99999.0,233579.10919506848,233579.10919506848,0,3435
Kilome,Makueni,KE017084,-99999.0,142248.82309174573,142248.82309174573,0,78404
Kimilili,Bungoma,KE039223,-99999.0,187927.51767098694,187927.51767098694,0,20591
Kiminini,Trans Nzoia,KE026139,-99999.0,289945.028734504,289945.028734504,0,37676
